company,regions,gresb_score,gresb_stars,gresb_year,gresb_ranking,other_ratings,notes,source_url,scrape_timestamp
GDS GROUP,"China, Hong Kong, Malaysia, Indonesia",,,,,[],"MSCI ESG upgraded to A rating in 2024, Moody's NZA-2 rating",,2025-09-08 14:31:34
AirTrunk Group,"Australia, Japan",,,,,[],"GRESB 5-star rating, 97/100 score, 1st in sector in 2023",,2025-09-08 14:31:49
